f,e,d,b,a,9,9,8
7,6,6,5,4,2,1,0
e,c,a,9,8,8,8,8
8,8,8,8,6,5,3,1
d,a,9,8,8,8,8,8
8,8,8,8,8,6,5,2
b,9,8,8,8,8,8,8
8,8,8,8,8,8,6,4
a,8,8,8,8,8,8,8
8,8,8,8,8,8,8,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,7,a
4,6,7,7,7,7,7,7
7,7,7,7,7,7,9,b
2,5,6,7,7,7,7,7
7,7,7,7,7,9,a,d
1,3,5,6,7,7,7,7
7,7,7,7,9,a,c,e
0,1,2,4,5,6,6,7
8,9,9,a,b,d,e,f
