f,e,d,c,c,b,a,9
6,5,4,3,3,2,1,0
e,e,d,c,c,b,a,9
6,5,4,3,3,2,1,1
d,d,d,c,c,b,a,9
6,5,4,3,3,2,2,2
c,c,c,c,b,b,a,9
6,5,4,4,3,3,3,3
c,c,c,b,b,a,a,9
6,5,5,4,4,3,3,3
b,b,b,b,a,a,a,8
7,5,5,5,4,4,4,4
a,a,a,a,a,a,9,8
7,6,5,5,5,5,5,5
9,9,9,9,9,8,8,8
7,7,7,6,6,6,6,6
6,6,6,6,6,7,7,7
8,8,8,9,9,9,9,9
5,5,5,5,5,5,6,7
8,9,a,a,a,a,a,a
4,4,4,4,5,5,5,7
8,a,a,a,b,b,b,b
3,3,3,4,4,5,5,6
9,a,a,b,b,c,c,c
3,3,3,3,4,4,5,6
9,a,b,b,c,c,c,c
2,2,2,3,3,4,5,6
9,a,b,c,c,d,d,d
1,1,2,3,3,4,5,6
9,a,b,c,c,d,e,e
0,1,2,3,3,4,5,6
9,a,b,c,c,d,e,f
