0,0,15
0,1,15
0,2,14
0,3,13
0,4,12
0,5,12
0,6,11
0,7,10
0,8,5
0,9,4
0,10,3
0,11,3
0,12,2
0,13,1
0,14,0
0,15,0
1,0,15
1,1,15
1,2,14
1,3,13
1,4,12
1,5,12
1,6,11
1,7,10
1,8,5
1,9,4
1,10,3
1,11,3
1,12,2
1,13,1
1,14,0
1,15,0
2,0,14
2,1,14
2,2,14
2,3,13
2,4,12
2,5,12
2,6,11
2,7,10
2,8,5
2,9,4
2,10,3
2,11,3
2,12,2
2,13,1
2,14,1
2,15,1
3,0,13
3,1,13
3,2,13
3,3,13
3,4,12
3,5,12
3,6,11
3,7,10
3,8,5
3,9,4
3,10,3
3,11,3
3,12,2
3,13,2
3,14,2
3,15,2
4,0,12
4,1,12
4,2,12
4,3,12
4,4,12
4,5,11
4,6,11
4,7,9
4,8,6
4,9,4
4,10,4
4,11,3
4,12,3
4,13,3
4,14,3
4,15,3
5,0,11
5,1,11
5,2,11
5,3,11
5,4,11
5,5,10
5,6,10
5,7,8
5,8,7
5,9,5
5,10,5
5,11,4
5,12,4
5,13,4
5,14,4
5,15,4
6,0,10
6,1,10
6,2,10
6,3,10
6,4,9
6,5,9
6,6,8
6,7,8
6,8,7
6,9,7
6,10,6
6,11,6
6,12,5
6,13,5
6,14,5
6,15,5
7,0,8
7,1,8
7,2,8
7,3,8
7,4,8
7,5,8
7,6,8
7,7,8
7,8,7
7,9,7
7,10,7
7,11,7
7,12,7
7,13,7
7,14,7
7,15,7
8,0,7
8,1,7
8,2,7
8,3,7
8,4,7
8,5,7
8,6,7
8,7,7
8,8,8
8,9,8
8,10,8
8,11,8
8,12,8
8,13,8
8,14,8
8,15,8
9,0,5
9,1,5
9,2,5
9,3,5
9,4,6
9,5,6
9,6,7
9,7,7
9,8,8
9,9,8
9,10,9
9,11,9
9,12,10
9,13,10
9,14,10
9,15,10
10,0,4
10,1,4
10,2,4
10,3,4
10,4,4
10,5,5
10,6,5
10,7,7
10,8,8
10,9,10
10,10,10
10,11,11
10,12,11
10,13,11
10,14,11
10,15,11
11,0,3
11,1,3
11,2,3
11,3,3
11,4,3
11,5,4
11,6,4
11,7,6
11,8,9
11,9,11
11,10,11
11,11,12
11,12,12
11,13,12
11,14,12
11,15,12
12,0,2
12,1,2
12,2,2
12,3,2
12,4,3
12,5,3
12,6,4
12,7,5
12,8,10
12,9,11
12,10,12
12,11,12
12,12,13
12,13,13
12,14,13
12,15,13
13,0,1
13,1,1
13,2,1
13,3,2
13,4,3
13,5,3
13,6,4
13,7,5
13,8,10
13,9,11
13,10,12
13,11,12
13,12,13
13,13,14
13,14,14
13,15,14
14,0,0
14,1,0
14,2,1
14,3,2
14,4,3
14,5,3
14,6,4
14,7,5
14,8,10
14,9,11
14,10,12
14,11,12
14,12,13
14,13,14
14,14,15
14,15,15
15,0,0
15,1,0
15,2,1
15,3,2
15,4,3
15,5,3
15,6,4
15,7,5
15,8,10
15,9,11
15,10,12
15,11,12
15,12,13
15,13,14
15,14,15
15,15,15
