f,f,e,d,c,b,9,8
7,6,4,3,2,1,0,0
f,e,e,d,c,b,9,8
7,6,4,3,2,1,1,0
e,e,d,c,c,a,9,8
7,6,5,3,3,2,1,1
d,d,c,c,b,a,9,8
7,6,5,4,3,3,2,2
c,c,c,b,a,9,9,8
7,6,6,5,4,3,3,3
b,b,a,a,9,9,8,8
7,7,6,6,5,5,4,4
9,9,9,9,9,8,8,8
7,7,7,6,6,6,6,6
8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8
6,6,6,6,6,7,7,7
8,8,8,9,9,9,9,9
4,4,5,5,6,6,7,7
8,8,9,9,a,a,b,b
3,3,3,4,5,6,6,7
8,9,9,a,b,c,c,c
2,2,3,3,4,5,6,7
8,9,a,b,c,c,d,d
1,1,2,3,3,5,6,7
8,9,a,c,c,d,e,e
0,1,1,2,3,4,6,7
8,9,b,c,d,e,e,f
0,0,1,2,3,4,6,7
8,9,b,c,d,e,f,f
